Provider,total_claim,total_revenue,avg_claim,unique_patients,first_claim,last_claim,active_days,claims_per_day,days_since_lastclaim,PotentialFraud,segment,visits_per_qtr,cost_of_visit,quaterly_cost
PRV51001,16,6250,390.625,15,2009-01-04,2009-12-17,347,0.0459770114942528,14,No,standard,1,200,200
PRV51003,56,25260,451.07142857142856,54,2009-01-09,2009-12-20,345,0.1618497109826589,11,Yes,rising stars,4,800,800
PRV51004,107,35460,331.4018691588785,96,2009-01-03,2009-12-27,358,0.298050139275766,4,No,champion,6,1200,1200
PRV51005,903,230010,254.7176079734219,435,2008-12-23,2009-12-30,372,2.420911528150134,1,Yes,champion,6,1200,1200
PRV51007,55,14080,256.0,49,2009-01-01,2009-12-23,356,0.1540616246498599,8,No,rising stars,4,800,800
PRV51008,32,10170,317.8125,27,2009-01-01,2009-12-22,355,0.0898876404494382,9,No,rising stars,4,800,800
PRV51011,46,10170,221.08695652173913,43,2009-01-01,2009-12-19,352,0.1303116147308781,12,No,rising stars,4,800,800
PRV51012,32,10730,335.3125,22,2009-01-18,2009-12-31,347,0.0919540229885057,0,No,rising stars,4,800,800
PRV51013,34,11840,348.2352941176471,32,2009-01-14,2009-12-23,343,0.0988372093023255,8,No,rising stars,4,800,800
PRV51014,24,9320,388.3333333333333,22,2009-01-01,2009-12-19,352,0.0679886685552408,12,No,standard,1,200,200
PRV51015,6,670,111.66666666666669,5,2009-03-20,2009-12-05,260,0.0229885057471264,26,No,standard,1,200,200
PRV51016,1,90,90.0,1,2009-08-06,2009-08-06,0,1.0,147,No,standard,1,200,200
PRV51017,389,112740,289.82005141388174,332,2008-12-17,2009-12-31,379,1.0236842105263158,0,No,champion,6,1200,1200
PRV51021,168,61430,365.6547619047619,144,2008-12-14,2009-12-31,382,0.4386422976501306,0,Yes,champion,6,1200,1200
PRV51023,17,6550,385.2941176470589,17,2009-01-05,2009-12-18,347,0.0488505747126436,13,No,standard,1,200,200
PRV51024,23,2290,99.56521739130434,23,2009-01-01,2009-12-26,359,0.0638888888888888,5,No,standard,1,200,200
PRV51025,61,27770,455.24590163934425,55,2008-12-17,2009-12-28,376,0.1618037135278514,3,No,rising stars,4,800,800
PRV51026,57,15210,266.8421052631579,43,2009-01-03,2009-12-25,356,0.1596638655462184,6,No,rising stars,4,800,800
PRV51027,42,20540,489.04761904761904,35,2009-01-04,2009-12-25,355,0.1179775280898876,6,No,rising stars,4,800,800
PRV51029,70,26270,375.2857142857143,65,2009-01-04,2009-12-24,354,0.1971830985915492,7,No,champion,6,1200,1200
PRV51030,58,21690,373.9655172413793,52,2009-01-07,2009-12-19,346,0.1671469740634005,12,No,rising stars,4,800,800
PRV51031,120,24750,206.25,107,2009-01-01,2009-12-21,354,0.3380281690140845,10,No,champion,6,1200,1200
