Provider,total_claim,total_revenue,avg_claim,unique_patients,first_claim,last_claim,active_days,claims_per_day,days_since_lastclaim,PotentialFraud
PRV51001,16,6250,390.625,15,2009-01-04,2009-12-17,347,0.04597701149425287,14,No
PRV51003,56,25260,451.07142857142856,54,2009-01-09,2009-12-20,345,0.16184971098265896,11,Yes
PRV51004,107,35460,331.4018691588785,96,2009-01-03,2009-12-27,358,0.298050139275766,4,No
PRV51005,903,230010,254.71760797342193,435,2008-12-23,2009-12-30,372,2.420911528150134,1,Yes
PRV51007,55,14080,256.0,49,2009-01-01,2009-12-23,356,0.15406162464985995,8,No
PRV51008,32,10170,317.8125,27,2009-01-01,2009-12-22,355,0.0898876404494382,9,No
PRV51011,46,10170,221.08695652173913,43,2009-01-01,2009-12-19,352,0.13031161473087818,12,No
PRV51012,32,10730,335.3125,22,2009-01-18,2009-12-31,347,0.09195402298850575,0,No
PRV51013,34,11840,348.2352941176471,32,2009-01-14,2009-12-23,343,0.09883720930232558,8,No
PRV51014,24,9320,388.3333333333333,22,2009-01-01,2009-12-19,352,0.0679886685552408,12,No
PRV51015,6,670,111.66666666666667,5,2009-03-20,2009-12-05,260,0.022988505747126436,26,No
PRV51016,1,90,90.0,1,2009-08-06,2009-08-06,0,1.0,147,No
PRV51017,389,112740,289.82005141388174,332,2008-12-17,2009-12-31,379,1.0236842105263158,0,No
PRV51021,168,61430,365.6547619047619,144,2008-12-14,2009-12-31,382,0.4386422976501306,0,Yes
PRV51023,17,6550,385.29411764705884,17,2009-01-05,2009-12-18,347,0.04885057471264368,13,No
PRV51024,23,2290,99.56521739130434,23,2009-01-01,2009-12-26,359,0.06388888888888888,5,No
PRV51025,61,27770,455.24590163934425,55,2008-12-17,2009-12-28,376,0.16180371352785147,3,No
PRV51026,57,15210,266.8421052631579,43,2009-01-03,2009-12-25,356,0.15966386554621848,6,No
PRV51027,42,20540,489.04761904761904,35,2009-01-04,2009-12-25,355,0.11797752808988764,6,No
PRV51029,70,26270,375.2857142857143,65,2009-01-04,2009-12-24,354,0.19718309859154928,7,No
PRV51030,58,21690,373.9655172413793,52,2009-01-07,2009-12-19,346,0.16714697406340057,12,No
PRV51031,120,24750,206.25,107,2009-01-01,2009-12-21,354,0.3380281690140845,10,No
PRV51032,19,5000,263.1578947368421,17,2009-02-16,2009-12-17,304,0.06229508196721312,14,No
PRV51035,16,1530,95.625,15,2009-01-04,2009-12-08,338,0.0471976401179941,23,No
PRV51036,220,60500,275.0,112,2008-12-31,2009-12-30,364,0.6027397260273972,1,No
PRV51037,332,103970,313.16265060240966,174,2008-12-28,2009-12-31,368,0.8997289972899729,0,Yes
PRV51038,85,23990,282.2352941176471,65,2009-01-08,2009-12-30,356,0.23809523809523808,1,No
PRV51040,53,9250,174.52830188679246,47,2009-01-06,2009-12-30,358,0.14763231197771587,1,No
PRV51041,23,2070,90.0,20,2009-01-01,2009-12-07,340,0.06744868035190615,24,No
PRV51042,117,38690,330.6837606837607,105,2009-01-03,2009-12-18,349,0.3342857142857143,13,No
PRV51043,18,3590,199.44444444444446,17,2009-02-05,2009-11-11,279,0.06428571428571428,50,No
PRV51044,46,16940,368.2608695652174,32,2009-02-12,2009-12-29,320,0.14330218068535824,2,No
PRV51045,21,4620,220.0,20,2009-02-12,2009-12-09,300,0.06976744186046512,22,No
PRV51046,22,4870,221.36363636363637,17,2009-01-09,2009-12-08,333,0.0658682634730539,23,No
PRV51047,7,1100,157.14285714285714,7,2009-04-21,2009-12-16,239,0.029166666666666667,15,No
PRV51048,26,7390,284.2307692307692,24,2009-01-01,2009-12-12,345,0.07514450867052024,19,No
PRV51049,49,11430,233.26530612244898,45,2008-12-30,2009-12-31,366,0.1335149863760218,0,No
PRV51052,31,11580,373.5483870967742,27,2009-01-10,2009-12-29,353,0.08757062146892655,2,Yes
PRV51054,39,8630,221.28205128205127,30,2009-01-08,2009-12-25,351,0.11079545454545454,6,No
PRV51055,15,4640,309.3333333333333,15,2009-01-20,2009-12-28,342,0.043731778425655975,3,No
PRV51056,18,6700,372.22222222222223,18,2009-02-23,2009-11-15,265,0.06766917293233082,46,No
PRV51057,5,6830,1366.0,4,2009-03-19,2009-11-30,256,0.019455252918287938,31,No
PRV51058,57,11240,197.19298245614036,56,2009-01-04,2009-12-28,358,0.15877437325905291,3,No
PRV51059,57,18390,322.63157894736844,51,2009-01-01,2009-12-31,364,0.15616438356164383,0,Yes
PRV51060,26,5620,216.15384615384616,26,2009-01-04,2009-12-12,342,0.07580174927113703,19,No
PRV51061,100,34800,348.0,49,2009-01-02,2009-12-31,363,0.27472527472527475,0,No
PRV51062,294,92760,315.51020408163265,144,2008-12-22,2009-12-28,371,0.7903225806451613,3,No
PRV51063,103,39690,385.3398058252427,88,2008-12-31,2009-12-27,361,0.2845303867403315,4,No
PRV51064,203,63100,310.8374384236453,163,2008-12-19,2009-12-31,377,0.5370370370370371,0,Yes
PRV51065,13,1480,113.84615384615384,12,2008-12-29,2009-12-19,355,0.03651685393258427,12,No
PRV51066,14,5130,366.42857142857144,13,2009-01-14,2009-11-22,312,0.04472843450479233,39,No
PRV51067,35,7120,203.42857142857142,30,2009-01-15,2009-11-26,315,0.11075949367088607,35,Yes
PRV51068,188,53230,283.13829787234044,159,2008-12-27,2009-12-29,367,0.5108695652173914,2,No
PRV51070,63,10620,168.57142857142858,46,2008-12-31,2009-12-09,343,0.18313953488372092,22,No
PRV51071,20,8280,414.0,20,2009-01-09,2009-12-23,348,0.05730659025787966,8,No
PRV51072,160,35240,220.25,118,2009-01-01,2009-12-27,360,0.44321329639889195,4,No
PRV51074,26,7280,280.0,26,2008-12-22,2009-12-26,369,0.07027027027027027,5,No
PRV51075,14,5480,391.42857142857144,11,2009-02-26,2009-12-08,285,0.04895104895104895,23,No
PRV51076,20,3520,176.0,18,2009-01-13,2009-12-17,338,0.058997050147492625,14,No
PRV51077,15,5250,350.0,15,2009-01-20,2009-12-05,319,0.046875,26,Yes
PRV51078,11,1910,173.63636363636363,11,2009-01-03,2009-08-16,225,0.048672566371681415,137,No
